,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,3.3,20.0,,1.0,37.3,12.8,24.65,2.0,4533.5615694165,5442.963581488933,6355.555555555556,4465.545560495717,4698.986759015633
1,0.5,18.2,,0.8,42.0,12.9,23.62,1.8,4388.140643863179,5268.798390342053,6133.333333333333,4321.358267666093,4639.386833307536
2,7.4,11.7,0.0,0.5,65.8,12.9,4.97,8.4,741.9183098591549,882.9342052313884,1258.3333333333333,831.2863392818846,838.5670608264975
3,6.4,13.3,4.2,0.5,79.3,12.9,8.97,9.0,1247.5816901408452,1480.6997987927564,2033.3333333333335,1499.4270032326842,1409.0547778981584
4,6.5,13.2,4.4,1.2,73.0,13.0,10.67,6.6,1257.957142857143,1461.5714285714284,2186.1111111111113,1297.101507216465,1373.799340659341
5,3.5,16.7,,1.3,49.6,13.0,22.14,1.9,898.0571428571428,1041.2571428571428,1705.5555555555554,1051.6037776124967,932.8361538461539
6,-0.3,22.8,,,54.8,13.1,26.2,2.4,4877.942454728371,5824.170623742454,6741.666666666667,4757.616773982185,4996.280835783936
7,3.4,20.5,,0.5,54.9,13.1,17.99,7.5,3172.7132796780684,3750.268812877264,4261.111111111111,2928.443690481716,3293.3085327348704
8,2.2,20.0,,0.8,68.1,13.1,24.69,3.0,3951.7975855130785,4696.395372233399,5911.111111111111,4028.995737496143,4258.932363411236
9,8.0,12.0,28.9,0.3,90.8,13.2,2.47,9.1,240.78953722334003,289.5424547283702,486.1111111111111,338.65867651299766,297.94831914564315
10,7.4,21.7,,0.7,70.3,13.2,26.32,2.3,3692.987525150905,4449.946478873239,4852.777777777777,3821.1199747165815,3909.9454527162966
11,8.8,14.0,30.0,0.7,90.3,13.2,4.14,8.8,697.6494969818914,833.8861167002012,813.8888888888889,658.3778534719969,829.331857297632
12,7.0,20.0,,1.7,68.5,13.3,23.32,4.1,3239.2967806841043,3872.8651911468814,4011.111111111111,3034.513109613746,3436.302787494196
13,6.3,18.3,,2.1,36.9,13.3,26.8,5.6,4837.2490945674035,5718.198189134808,6850.0,4785.141413173877,5013.108184491564
14,1.2,14.6,,2.1,40.6,13.3,26.92,3.1,4214.8,4963.539235412475,6227.777777777778,4296.32841102868,4404.049613062993
15,-0.6,15.8,,1.6,51.0,13.4,27.73,1.5,4939.624346076458,5839.858551307847,6991.666666666667,4927.613520613319,5246.847881132951
16,-0.5,17.8,,2.0,42.3,13.4,28.19,0.4,5036.936418511066,5957.997786720322,7088.88888888889,4991.008529700619,5233.238876334932
17,4.0,21.3,,1.8,58.8,13.4,25.56,0.0,4237.133266264253,4988.430583501006,6005.555555555557,4093.7362972718965,4456.981429603262
18,4.8,20.7,,1.2,52.4,13.5,27.69,3.0,3994.693762575453,4779.918511066398,5469.444444444444,4094.8681554979235,4195.920167156787
19,4.0,20.6,,0.8,50.8,13.5,24.33,2.3,4503.302213279678,5353.161569416499,6000.000000000001,4313.597599675712,4782.9353459216845
20,2.2,21.9,,0.7,54.3,13.5,27.66,0.1,4847.079476861168,5759.825754527164,6950.0,4907.340486326494,5073.5040396223485
21,3.6,24.2,,0.9,51.4,13.6,27.62,0.1,4842.506036217304,5748.818712273642,6950.0,4898.32040465942,5010.315638446062
22,4.5,23.5,,1.2,68.0,13.6,27.94,0.9,3886.0068410462773,4689.871428571429,4983.333333333334,3937.721524624134,4076.392033740907
23,16.8,25.5,,1.4,74.1,13.6,25.73,2.9,4187.74044848803,4938.88138395591,6011.11111111111,4122.758950789657,4196.094769239741
24,13.8,26.3,1.3,0.8,81.5,13.6,15.22,8.1,2075.6050301810865,2509.225150905433,3038.8888888888887,2393.2531401613587,2254.4707630397775
25,15.1,18.2,29.5,0.4,94.9,13.7,4.02,9.4,425.5941649899397,507.174245472837,1030.5555555555554,688.7635680627826,504.23325181860395
26,15.1,28.2,,0.6,81.0,13.7,24.07,4.1,4490.335211267605,5317.334205231388,6172.222222222222,4440.35384549001,4649.484613836867
27,15.3,20.5,,0.6,81.1,13.7,7.84,9.1,738.5064386317908,866.8301810865191,1183.3333333333333,785.10351292669,841.9893205386163
28,12.0,28.8,,1.0,63.5,13.8,27.78,1.4,1510.314285714286,1738.0857142857142,2511.1111111111104,1537.476193430099,1519.865054945055
29,8.5,24.5,,1.2,53.5,13.8,28.19,4.1,5061.7458752515095,5950.283299798792,6944.444444444443,4962.560482722346,5272.298418201516
30,5.5,22.6,0.0,0.7,66.6,13.8,22.0,6.8,4194.9724346076455,4988.791549295775,5455.555555555555,4015.875693552801,4391.256786875096
31,15.7,19.2,45.9,1.0,92.6,13.9,3.29,9.1,287.59657947686117,342.77545271629776,580.5555555555557,450.19897687270907,362.5883284321313
32,12.1,25.4,,1.1,72.1,13.9,23.37,5.1,2182.86861167002,2512.537625754527,3586.1111111111113,2413.5618184686973,2179.697661352732
33,9.0,28.9,,0.6,58.8,13.9,28.76,2.0,5212.928300236201,6121.159079112355,7136.111111111111,5073.815616090705,5172.978430561071
34,13.7,24.8,,2.3,44.3,14.0,27.36,0.5,4867.186253754411,5741.75427055084,6777.777777777778,4859.244895975345,4951.776574833617
35,7.3,25.6,,0.9,51.8,14.0,29.29,0.3,5292.862173038228,6209.898390342053,7222.222222222223,5140.812726377863,5377.568117938401
36,8.6,25.9,,0.6,55.3,14.0,21.61,6.8,3674.159959758552,4294.129577464789,4633.333333333333,3200.497601484956,3670.728216994273
37,14.1,16.8,17.8,0.3,91.9,14.0,2.45,9.4,286.90100603621727,343.58832997987923,594.4444444444445,446.535393310274,364.4551540009287
38,15.1,26.2,0.8,0.4,84.8,14.1,21.23,7.3,2725.2261569416496,3159.154929577465,3566.6666666666665,2356.773621104843,2776.7626590311097
39,15.8,24.0,,0.9,82.6,14.1,21.27,6.3,2749.579879275653,3198.652112676056,4019.444444444445,2715.5364689201297,2873.1554217613366
40,15.3,21.1,13.6,0.6,89.0,14.1,4.86,8.0,432.20724346076463,511.90221327967805,1022.2222222222221,731.938607323115,493.32471908373316
41,9.9,18.7,0.0,1.7,75.5,14.1,17.06,4.0,1022.139235412475,1171.8919517102615,1313.888888888889,872.5203310333502,1042.827854821235
42,8.0,23.3,,0.9,72.3,14.1,24.66,4.6,2077.7233400402415,2499.5169014084513,2725.0,2254.430913406737,2197.122046122891
43,12.8,21.2,,0.9,75.8,14.2,17.05,8.1,1897.8575306913947,2183.2600209955385,2744.444444444445,1901.781317604281,2002.059279803683
44,10.8,23.2,,0.9,72.9,14.2,24.93,3.4,2566.1651911468816,2920.741448692153,4227.777777777777,2650.8972094268747,2650.3035830366816
45,9.6,25.2,,1.1,72.4,14.2,28.7,1.0,3890.041542005657,4494.005802933543,5750.0,3804.475844349868,3897.9296438833667
46,13.1,25.1,,1.0,80.3,14.2,18.18,7.0,3470.336217303823,4077.554929577465,4372.222222222223,3405.2939316515703,3530.8001485838104
47,14.3,24.9,,0.5,74.4,14.2,17.67,9.4,2157.3748490945677,2526.5509054325953,3341.666666666666,2385.867475416261,2258.612340195016
48,15.1,25.1,,0.6,78.0,14.3,17.66,8.0,2155.141448692153,2441.603621730382,3513.888888888889,2230.2810889071734,2188.2072063148116
49,13.1,27.3,,0.8,63.3,14.3,28.26,5.8,4854.443863179075,5644.024547283702,6516.666666666666,4734.582521769069,4892.71915338183
50,11.3,26.2,,0.9,66.5,14.3,28.61,1.6,4935.2344064386325,5708.115895372233,6972.222222222223,4930.700835697272,4892.013566011454
51,11.9,28.3,,0.8,65.5,14.3,27.99,3.8,5042.138199786957,5827.955314238371,6930.555555555556,4997.217183187671,5054.834188342726
52,14.5,25.5,,0.7,61.8,14.4,17.05,9.6,2757.6853118712274,3190.236418511067,4222.222222222223,2967.0703567865517,2902.8826265284006
53,14.6,26.2,1.2,0.7,73.8,14.4,18.23,8.3,3479.628973843058,4056.313682092555,4677.777777777777,3232.060039985523,3569.469164216066
54,15.9,28.9,,1.1,63.1,14.4,27.17,4.0,3732.2997987927565,4343.255130784709,5138.88888888889,3652.182381325131,3715.5166584120107
55,10.9,28.6,0.0,0.9,56.6,14.4,29.94,4.1,4507.313682092555,5255.328772635816,6272.222222222223,4457.020774742332,4562.800227518961
